Class Name,Class Status,Class Characteristic,Attribute/Relationship Name,Attribute/Relationship Status,Attribute/Relationship Characteristic,Old Value,New Value
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,version,Added,Data Type,,String
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,dateValues,Added,Model Representation,,Relationship
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,dateValues,Added,Cardinality,,0..*
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,dateValues,Added,Data Type,,GovernanceDate
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,notes,Added,Model Representation,,Attribute
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,notes,Added,Cardinality,,0..*
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,notes,Added,Data Type,,CommentAnnotation
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,id,Added,Cardinality,,1
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,id,Added,Data Type,,String
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,contents,Added,Model Representation,,Relationship
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,contents,Added,Cardinality,,0..*
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,contents,Added,Data Type,,NarrativeContent
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,status,Added,Model Representation,,Attribute
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,status,Added,Cardinality,,1
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,status,Added,Data Type,,Code
StudyDefinitionDocumentVersion,Added,Abstract,,,,,False
AssignedPerson,Added,Attributes/Relationships,organization,Added,Model Representation,,Relationship
AssignedPerson,Added,Attributes/Relationships,organization,Added,Cardinality,,0..1
AssignedPerson,Added,Attributes/Relationships,organization,Added,Data Type,,Organization
AssignedPerson,Added,Attributes/Relationships,personName,Added,Model Representation,,Attribute
AssignedPerson,Added,Attributes/Relationships,personName,Added,Cardinality,,1
AssignedPerson,Added,Attributes/Relationships,personName,Added,Data Type,,PersonName
AssignedPerson,Added,Attributes/Relationships,jobTitle,Added,Model Representation,,Attribute
AssignedPerson,Added,Attributes/Relationships,jobTitle,Added,Cardinality,,1
AssignedPerson,Added,Attributes/Relationships,jobTitle,Added,Data Type,,String
AssignedPerson,Added,Attributes/Relationships,label,Added,Model Representation,,Attribute
AssignedPerson,Added,Attributes/Relationships,label,Added,Cardinality,,0..1
AssignedPerson,Added,Attributes/Relationships,label,Added,Data Type,,String
AssignedPerson,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
AssignedPerson,Added,Attributes/Relationships,id,Added,Cardinality,,1
AssignedPerson,Added,Attributes/Relationships,id,Added,Data Type,,String
AssignedPerson,Added,Attributes/Relationships,name,Added,Model Representation,,Attribute
AssignedPerson,Added,Attributes/Relationships,name,Added,Cardinality,,1
AssignedPerson,Added,Attributes/Relationships,name,Added,Data Type,,String
AssignedPerson,Added,Attributes/Relationships,description,Added,Model Representation,,Attribute
AssignedPerson,Added,Attributes/Relationships,description,Added,Cardinality,,0..1
AssignedPerson,Added,Attributes/Relationships,description,Added,Data Type,,String
AssignedPerson,Added,Abstract,,,,,False
ReferenceIdentifier,Added,Super Classes,,,,,Identifier
ReferenceIdentifier,Added,Attributes/Relationships,scope,Added,Inherited From,,Identifier
ReferenceIdentifier,Added,Attributes/Relationships,scope,Added,Model Representation,,Relationship
ReferenceIdentifier,Added,Attributes/Relationships,scope,Added,Cardinality,,1
ReferenceIdentifier,Added,Attributes/Relationships,scope,Added,Data Type,,Organization
ReferenceIdentifier,Added,Attributes/Relationships,text,Added,Inherited From,,Identifier
ReferenceIdentifier,Added,Attributes/Relationships,text,Added,Model Representation,,Attribute
ReferenceIdentifier,Added,Attributes/Relationships,text,Added,Cardinality,,1
ReferenceIdentifier,Added,Attributes/Relationships,text,Added,Data Type,,String
ReferenceIdentifier,Added,Attributes/Relationships,type,Added,Model Representation,,Attribute
ReferenceIdentifier,Added,Attributes/Relationships,type,Added,Cardinality,,1
ReferenceIdentifier,Added,Attributes/Relationships,type,Added,Data Type,,Code
ReferenceIdentifier,Added,Attributes/Relationships,id,Added,Inherited From,,Identifier
ReferenceIdentifier,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
ReferenceIdentifier,Added,Attributes/Relationships,id,Added,Cardinality,,1
ReferenceIdentifier,Added,Attributes/Relationships,id,Added,Data Type,,String
ReferenceIdentifier,Added,Abstract,,,,,False
Strength,Added,Attributes/Relationships,numerator,Added,Model Representation,,Attribute
Strength,Added,Attributes/Relationships,numerator,Added,Cardinality,,1
Strength,Added,Attributes/Relationships,numerator,Added,Data Type,,QuantityRange
Strength,Added,Attributes/Relationships,label,Added,Model Representation,,Attribute
Strength,Added,Attributes/Relationships,label,Added,Cardinality,,0..1
Strength,Added,Attributes/Relationships,label,Added,Data Type,,String
Strength,Added,Attributes/Relationships,denominator,Added,Model Representation,,Attribute
Strength,Added,Attributes/Relationships,denominator,Added,Cardinality,,0..1
Strength,Added,Attributes/Relationships,denominator,Added,Data Type,,Quantity
Strength,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
Strength,Added,Attributes/Relationships,id,Added,Cardinality,,1
Strength,Added,Attributes/Relationships,id,Added,Data Type,,String
Strength,Added,Attributes/Relationships,name,Added,Model Representation,,Attribute
Strength,Added,Attributes/Relationships,name,Added,Cardinality,,1
Strength,Added,Attributes/Relationships,name,Added,Data Type,,String
Strength,Added,Attributes/Relationships,description,Added,Model Representation,,Attribute
Strength,Added,Attributes/Relationships,description,Added,Cardinality,,0..1
Strength,Added,Attributes/Relationships,description,Added,Data Type,,String
Strength,Added,Abstract,,,,,False
ProductOrganizationRole,Added,Attributes/Relationships,organization,Added,Model Representation,,Relationship
ProductOrganizationRole,Added,Attributes/Relationships,organization,Added,Cardinality,,1
ProductOrganizationRole,Added,Attributes/Relationships,organization,Added,Data Type,,Organization
ProductOrganizationRole,Added,Attributes/Relationships,appliesTo,Added,Model Representation,,Relationship
ProductOrganizationRole,Added,Attributes/Relationships,appliesTo,Added,Cardinality,,0..*
ProductOrganizationRole,Added,Attributes/Relationships,appliesTo,Added,Data Type,,"AdministrableProduct, MedicalDevice"
ProductOrganizationRole,Added,Attributes/Relationships,code,Added,Model Representation,,Attribute
ProductOrganizationRole,Added,Attributes/Relationships,code,Added,Cardinality,,1
ProductOrganizationRole,Added,Attributes/Relationships,code,Added,Data Type,,Code
ProductOrganizationRole,Added,Attributes/Relationships,label,Added,Model Representation,,Attribute
ProductOrganizationRole,Added,Attributes/Relationships,label,Added,Cardinality,,0..1
ProductOrganizationRole,Added,Attributes/Relationships,label,Added,Data Type,,String
ProductOrganizationRole,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
ProductOrganizationRole,Added,Attributes/Relationships,id,Added,Cardinality,,1
ProductOrganizationRole,Added,Attributes/Relationships,id,Added,Data Type,,String
ProductOrganizationRole,Added,Attributes/Relationships,name,Added,Model Representation,,Attribute
ProductOrganizationRole,Added,Attributes/Relationships,name,Added,Cardinality,,1
ProductOrganizationRole,Added,Attributes/Relationships,name,Added,Data Type,,String
ProductOrganizationRole,Added,Attributes/Relationships,description,Added,Model Representation,,Attribute
ProductOrganizationRole,Added,Attributes/Relationships,description,Added,Cardinality,,0..1
ProductOrganizationRole,Added,Attributes/Relationships,description,Added,Data Type,,String
ProductOrganizationRole,Added,Abstract,,,,,False
PersonName,Added,Attributes/Relationships,givenNames,Added,Model Representation,,Attribute
PersonName,Added,Attributes/Relationships,givenNames,Added,Cardinality,,0..*
PersonName,Added,Attributes/Relationships,givenNames,Added,Data Type,,String
PersonName,Added,Attributes/Relationships,text,Added,Model Representation,,Attribute
PersonName,Added,Attributes/Relationships,text,Added,Cardinality,,0..1
PersonName,Added,Attributes/Relationships,text,Added,Data Type,,String
PersonName,Added,Attributes/Relationships,suffixes,Added,Model Representation,,Attribute
PersonName,Added,Attributes/Relationships,suffixes,Added,Cardinality,,0..*
PersonName,Added,Attributes/Relationships,suffixes,Added,Data Type,,String
PersonName,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
PersonName,Added,Attributes/Relationships,id,Added,Cardinality,,1
PersonName,Added,Attributes/Relationships,id,Added,Data Type,,String
PersonName,Added,Attributes/Relationships,prefixes,Added,Model Representation,,Attribute
PersonName,Added,Attributes/Relationships,prefixes,Added,Cardinality,,0..*
PersonName,Added,Attributes/Relationships,prefixes,Added,Data Type,,String
PersonName,Added,Attributes/Relationships,familyName,Added,Model Representation,,Attribute
PersonName,Added,Attributes/Relationships,familyName,Added,Cardinality,,0..1
PersonName,Added,Attributes/Relationships,familyName,Added,Data Type,,String
PersonName,Added,Abstract,,,,,False
StudyRole,Added,Attributes/Relationships,appliesTo,Added,Model Representation,,Relationship
StudyRole,Added,Attributes/Relationships,appliesTo,Added,Cardinality,,0..*
StudyRole,Added,Attributes/Relationships,appliesTo,Added,Data Type,,"StudyDesign, StudyVersion"
StudyRole,Added,Attributes/Relationships,code,Added,Model Representation,,Attribute
StudyRole,Added,Attributes/Relationships,code,Added,Cardinality,,1
StudyRole,Added,Attributes/Relationships,code,Added,Data Type,,Code
StudyRole,Added,Attributes/Relationships,masking,Added,Model Representation,,Relationship
StudyRole,Added,Attributes/Relationships,masking,Added,Cardinality,,0..1
StudyRole,Added,Attributes/Relationships,masking,Added,Data Type,,Masking
StudyRole,Added,Attributes/Relationships,notes,Added,Model Representation,,Attribute
StudyRole,Added,Attributes/Relationships,notes,Added,Cardinality,,0..*
StudyRole,Added,Attributes/Relationships,notes,Added,Data Type,,CommentAnnotation
StudyRole,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
StudyRole,Added,Attributes/Relationships,id,Added,Cardinality,,1
StudyRole,Added,Attributes/Relationships,id,Added,Data Type,,String
StudyRole,Added,Attributes/Relationships,name,Added,Model Representation,,Attribute
StudyRole,Added,Attributes/Relationships,name,Added,Cardinality,,1
StudyRole,Added,Attributes/Relationships,name,Added,Data Type,,String
StudyRole,Added,Attributes/Relationships,label,Added,Model Representation,,Attribute
StudyRole,Added,Attributes/Relationships,label,Added,Cardinality,,0..1
StudyRole,Added,Attributes/Relationships,label,Added,Data Type,,String
StudyRole,Added,Attributes/Relationships,description,Added,Model Representation,,Attribute
StudyRole,Added,Attributes/Relationships,description,Added,Cardinality,,0..1
StudyRole,Added,Attributes/Relationships,description,Added,Data Type,,String
StudyRole,Added,Attributes/Relationships,assignedPersons,Added,Model Representation,,Relationship
StudyRole,Added,Attributes/Relationships,assignedPersons,Added,Cardinality,,0..*
StudyRole,Added,Attributes/Relationships,assignedPersons,Added,Data Type,,AssignedPerson
StudyRole,Added,Attributes/Relationships,organizations,Added,Model Representation,,Relationship
StudyRole,Added,Attributes/Relationships,organizations,Added,Cardinality,,0..*
StudyRole,Added,Attributes/Relationships,organizations,Added,Data Type,,Organization
StudyRole,Added,Abstract,,,,,False
ObservationalStudyDesign,Added,Super Classes,,,,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,arms,Added,Inherited From,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,arms,Added,Model Representation,,Relationship
ObservationalStudyDesign,Added,Attributes/Relationships,arms,Added,Cardinality,,1..*
ObservationalStudyDesign,Added,Attributes/Relationships,arms,Added,Data Type,,StudyArm
ObservationalStudyDesign,Added,Attributes/Relationships,activities,Added,Inherited From,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,activities,Added,Model Representation,,Relationship
ObservationalStudyDesign,Added,Attributes/Relationships,activities,Added,Cardinality,,0..*
ObservationalStudyDesign,Added,Attributes/Relationships,activities,Added,Data Type,,Activity
ObservationalStudyDesign,Added,Attributes/Relationships,rationale,Added,Inherited From,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,rationale,Added,Model Representation,,Attribute
ObservationalStudyDesign,Added,Attributes/Relationships,rationale,Added,Cardinality,,1
ObservationalStudyDesign,Added,Attributes/Relationships,rationale,Added,Data Type,,String
ObservationalStudyDesign,Added,Attributes/Relationships,subTypes,Added,Model Representation,,Attribute
ObservationalStudyDesign,Added,Attributes/Relationships,subTypes,Added,Cardinality,,0..*
ObservationalStudyDesign,Added,Attributes/Relationships,subTypes,Added,Data Type,,Code
ObservationalStudyDesign,Added,Attributes/Relationships,studyInterventions,Added,Inherited From,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,studyInterventions,Added,Model Representation,,Relationship
ObservationalStudyDesign,Added,Attributes/Relationships,studyInterventions,Added,Cardinality,,0..*
ObservationalStudyDesign,Added,Attributes/Relationships,studyInterventions,Added,Data Type,,StudyIntervention
ObservationalStudyDesign,Added,Attributes/Relationships,id,Added,Inherited From,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
ObservationalStudyDesign,Added,Attributes/Relationships,id,Added,Cardinality,,1
ObservationalStudyDesign,Added,Attributes/Relationships,id,Added,Data Type,,String
ObservationalStudyDesign,Added,Attributes/Relationships,label,Added,Inherited From,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,label,Added,Model Representation,,Attribute
ObservationalStudyDesign,Added,Attributes/Relationships,label,Added,Cardinality,,0..1
ObservationalStudyDesign,Added,Attributes/Relationships,label,Added,Data Type,,String
ObservationalStudyDesign,Added,Attributes/Relationships,name,Added,Inherited From,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,name,Added,Model Representation,,Attribute
ObservationalStudyDesign,Added,Attributes/Relationships,name,Added,Cardinality,,1
ObservationalStudyDesign,Added,Attributes/Relationships,name,Added,Data Type,,String
ObservationalStudyDesign,Added,Attributes/Relationships,description,Added,Inherited From,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,description,Added,Model Representation,,Attribute
ObservationalStudyDesign,Added,Attributes/Relationships,description,Added,Cardinality,,0..1
ObservationalStudyDesign,Added,Attributes/Relationships,description,Added,Data Type,,String
ObservationalStudyDesign,Added,Attributes/Relationships,biospecimenRetentions,Added,Inherited From,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,biospecimenRetentions,Added,Model Representation,,Relationship
ObservationalStudyDesign,Added,Attributes/Relationships,biospecimenRetentions,Added,Cardinality,,0..*
ObservationalStudyDesign,Added,Attributes/Relationships,biospecimenRetentions,Added,Data Type,,BiospecimenRetention
ObservationalStudyDesign,Added,Attributes/Relationships,objectives,Added,Inherited From,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,objectives,Added,Model Representation,,Relationship
ObservationalStudyDesign,Added,Attributes/Relationships,objectives,Added,Cardinality,,0..*
ObservationalStudyDesign,Added,Attributes/Relationships,objectives,Added,Data Type,,Objective
ObservationalStudyDesign,Added,Attributes/Relationships,population,Added,Inherited From,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,population,Added,Model Representation,,Relationship
ObservationalStudyDesign,Added,Attributes/Relationships,population,Added,Cardinality,,1
ObservationalStudyDesign,Added,Attributes/Relationships,population,Added,Data Type,,StudyDesignPopulation
ObservationalStudyDesign,Added,Attributes/Relationships,indications,Added,Inherited From,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,indications,Added,Model Representation,,Relationship
ObservationalStudyDesign,Added,Attributes/Relationships,indications,Added,Cardinality,,0..*
ObservationalStudyDesign,Added,Attributes/Relationships,indications,Added,Data Type,,Indication
ObservationalStudyDesign,Added,Attributes/Relationships,studyPhase,Added,Inherited From,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,studyPhase,Added,Model Representation,,Attribute
ObservationalStudyDesign,Added,Attributes/Relationships,studyPhase,Added,Cardinality,,0..1
ObservationalStudyDesign,Added,Attributes/Relationships,studyPhase,Added,Data Type,,AliasCode
ObservationalStudyDesign,Added,Attributes/Relationships,estimands,Added,Inherited From,,StudyDesign
ObservationalStudyDesign,Added,Attributes/Relationships,estimands,Added,Model Representation,,Relationship
ObservationalStudyDesign,Added,Attributes/Relationships,estimands,Added,Cardinality,,0..*
ObservationalStudyDesign,Added,Attributes/Relationships,estimands,Added,Data Type,,Estimand
ObservationalStudyDesign,Added,Attributes/Relationships,timePerspective,Added,Model Representation,,Attribute
