Class Name,Class Status,Class Characteristic,Attribute/Relationship Name,Attribute/Relationship Status,Attribute/Relationship Characteristic,Old Value,New Value
EligibilityCriterionItem,Added,Attributes/Relationships,notes,Added,Model Representation,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,notes,Added,Has Value List,,N
EligibilityCriterionItem,Added,Attributes/Relationships,notes,Added,Definition,,A brief written record relevant to the eligibility criterion item.
EligibilityCriterionItem,Added,Attributes/Relationships,name,Added,Inherited From,,SyntaxTemplate
EligibilityCriterionItem,Added,Attributes/Relationships,name,Added,Preferred Term,,Eligibility Criterion Item Name
EligibilityCriterionItem,Added,Attributes/Relationships,name,Added,NCI C-Code,,C215647
EligibilityCriterionItem,Added,Attributes/Relationships,name,Added,Role,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,name,Added,Model Representation,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,name,Added,Has Value List,,N
EligibilityCriterionItem,Added,Attributes/Relationships,name,Added,Definition,,"The literal identifier (i.e., distinctive designation) of the eligibility criterion item."
EligibilityCriterionItem,Added,Attributes/Relationships,description,Added,Inherited From,,SyntaxTemplate
EligibilityCriterionItem,Added,Attributes/Relationships,description,Added,Preferred Term,,Eligibility Criterion Item Description
EligibilityCriterionItem,Added,Attributes/Relationships,description,Added,NCI C-Code,,C215649
EligibilityCriterionItem,Added,Attributes/Relationships,description,Added,Role,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,description,Added,Model Representation,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,description,Added,Has Value List,,N
EligibilityCriterionItem,Added,Attributes/Relationships,description,Added,Definition,,A narrative representation of the eligibility criterion item.
EligibilityCriterionItem,Added,Definition,,,,,An individual item within the container that holds an instance of an eligibility criterion.
Abbreviation,Added,Preferred Term,,,,,Abbreviation
Abbreviation,Added,NCI C-Code,,,,,C42610
Abbreviation,Added,Attributes/Relationships,notes,Added,Preferred Term,,Abbreviation Notes
Abbreviation,Added,Attributes/Relationships,notes,Added,NCI C-Code,,C215570
Abbreviation,Added,Attributes/Relationships,notes,Added,Role,,Complex Datatype Relationship
Abbreviation,Added,Attributes/Relationships,notes,Added,Model Representation,,Attribute
Abbreviation,Added,Attributes/Relationships,notes,Added,Has Value List,,N
Abbreviation,Added,Attributes/Relationships,notes,Added,Definition,,A brief written record relevant to the abbreviation.
Abbreviation,Added,Attributes/Relationships,abbreviatedText,Added,Preferred Term,,Text Abbreviation Value
Abbreviation,Added,Attributes/Relationships,abbreviatedText,Added,NCI C-Code,,C215487
Abbreviation,Added,Attributes/Relationships,abbreviatedText,Added,Role,,Attribute
Abbreviation,Added,Attributes/Relationships,abbreviatedText,Added,Model Representation,,Attribute
Abbreviation,Added,Attributes/Relationships,abbreviatedText,Added,Has Value List,,N
Abbreviation,Added,Attributes/Relationships,abbreviatedText,Added,Definition,,The literal value of an instance of unstructured text that is used as the abbreviation.
Abbreviation,Added,Attributes/Relationships,expandedText,Added,Preferred Term,,Abbreviation Long Name
Abbreviation,Added,Attributes/Relationships,expandedText,Added,NCI C-Code,,C215569
Abbreviation,Added,Attributes/Relationships,expandedText,Added,Role,,Attribute
Abbreviation,Added,Attributes/Relationships,expandedText,Added,Model Representation,,Attribute
Abbreviation,Added,Attributes/Relationships,expandedText,Added,Has Value List,,N
Abbreviation,Added,Attributes/Relationships,expandedText,Added,Definition,,The full literal representation of the abbreviation.
Abbreviation,Added,Definition,,,,,A set of letters that are drawn from a word or from a sequence of words and that are used for brevity in place of the full word or phrase. (CDISC Glossary)
AdministrableProductProperty,Added,Preferred Term,,,,,Administrable Product Property
AdministrableProductProperty,Added,NCI C-Code,,,,,C215494
AdministrableProductProperty,Added,Attributes/Relationships,type,Added,Codelist Ref,,C215479
AdministrableProductProperty,Added,Attributes/Relationships,type,Added,Preferred Term,,Administrable Product Property Type
AdministrableProductProperty,Added,Attributes/Relationships,type,Added,NCI C-Code,,C215585
AdministrableProductProperty,Added,Attributes/Relationships,type,Added,Role,,Complex Datatype Relationship
AdministrableProductProperty,Added,Attributes/Relationships,type,Added,Model Representation,,Attribute
AdministrableProductProperty,Added,Attributes/Relationships,type,Added,Has Value List,,Y (C215479)
AdministrableProductProperty,Added,Attributes/Relationships,type,Added,Definition,,A characterization or classification of the administrable product property.
AdministrableProductProperty,Added,Attributes/Relationships,type,Added,Codelist URL,,https://evsexplore.semantics.cancer.gov/evsexplore/subset/ncit/C215479
AdministrableProductProperty,Added,Attributes/Relationships,text,Added,Preferred Term,,Administrable Product Property Text
AdministrableProductProperty,Added,Attributes/Relationships,text,Added,NCI C-Code,,C215583
AdministrableProductProperty,Added,Attributes/Relationships,text,Added,Role,,Attribute
AdministrableProductProperty,Added,Attributes/Relationships,text,Added,Model Representation,,Attribute
AdministrableProductProperty,Added,Attributes/Relationships,text,Added,Has Value List,,N
AdministrableProductProperty,Added,Attributes/Relationships,text,Added,Definition,,An instance of structured text that represents the administrable product property.
AdministrableProductProperty,Added,Attributes/Relationships,name,Added,Preferred Term,,Administrable Product Property Name
AdministrableProductProperty,Added,Attributes/Relationships,name,Added,NCI C-Code,,C215582
AdministrableProductProperty,Added,Attributes/Relationships,name,Added,Role,,Attribute
AdministrableProductProperty,Added,Attributes/Relationships,name,Added,Model Representation,,Attribute
AdministrableProductProperty,Added,Attributes/Relationships,name,Added,Has Value List,,N
AdministrableProductProperty,Added,Attributes/Relationships,name,Added,Definition,,"The literal identifier (i.e., distinctive designation) of the administrable product property."
AdministrableProductProperty,Added,Attributes/Relationships,quantity,Added,Preferred Term,,Administrable Product Property Quantity Value
AdministrableProductProperty,Added,Attributes/Relationships,quantity,Added,NCI C-Code,,C215584
AdministrableProductProperty,Added,Attributes/Relationships,quantity,Added,Role,,Complex Datatype Relationship
AdministrableProductProperty,Added,Attributes/Relationships,quantity,Added,Model Representation,,Attribute
AdministrableProductProperty,Added,Attributes/Relationships,quantity,Added,Has Value List,,N
AdministrableProductProperty,Added,Attributes/Relationships,quantity,Added,Definition,,The numeric value associated with an administrable product property.
AdministrableProductProperty,Added,Definition,,,,,A characteristic from a set of characteristics used to define an administrable product.
QuantityRange,Added,Preferred Term,,,,,Quantity or Range
QuantityRange,Added,NCI C-Code,,,,,C217000
QuantityRange,Added,Definition,,,,,"The total amount (number), or the limits (minimum and maximum) of a variation."
StudyDefinitionDocumentVersion,Added,Preferred Term,,,,,Study Definition Document Version
StudyDefinitionDocumentVersion,Added,NCI C-Code,,,,,C215491
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,version,Added,Preferred Term,,Study Definition Document Version Identifier
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,version,Added,NCI C-Code,,C215566
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,version,Added,Role,,Attribute
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,version,Added,Model Representation,,Attribute
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,version,Added,Has Value List,,N
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,version,Added,Definition,,A sequence of characters used to identify the version of the study definition document.
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,dateValues,Added,Role,,Relationship
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,dateValues,Added,Model Representation,,Relationship
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,dateValues,Added,Has Value List,,N/A
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,dateValues,Added,Definition,,A USDM relationship between the StudyDefinitionDocumentVersion and GovernanceDate classes which provides the set of governance dates associated with the study definition document version.
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,notes,Added,Preferred Term,,Study Definition Document Version Notes
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,notes,Added,NCI C-Code,,C215568
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,notes,Added,Role,,Complex Datatype Relationship
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,notes,Added,Model Representation,,Attribute
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,notes,Added,Has Value List,,N
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,notes,Added,Definition,,A brief written record relevant to the study definition document version.
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,contents,Added,Role,,Relationship
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,contents,Added,Model Representation,,Relationship
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,contents,Added,Has Value List,,N/A
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,contents,Added,Definition,,A USDM relationship between the StudyDefinitionDocumentVersion and NarrativeContent classes which identifies the set of narrative content associated with the version of the study definition document.
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,status,Added,Codelist Ref,,C188723
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,status,Added,Preferred Term,,Study Definition Document Status
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,status,Added,NCI C-Code,,C215567
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,status,Added,Role,,Complex Datatype Relationship
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,status,Added,Model Representation,,Attribute
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,status,Added,Has Value List,,Y (C188723)
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,status,Added,Definition,,A condition of the study definition document at a point in time with respect to its state of readiness for implementation.
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,status,Added,Codelist URL,,https://evsexplore.semantics.cancer.gov/evsexplore/subset/ncit/C188723
StudyDefinitionDocumentVersion,Added,Definition,,,,,A representation of a particular edition or snapshot of the study definition document as it exists at a particular point in time.
AssignedPerson,Added,Preferred Term,,,,,Assigned Person
AssignedPerson,Added,NCI C-Code,,,,,C215496
AssignedPerson,Added,Attributes/Relationships,organization,Added,Role,,Relationship
AssignedPerson,Added,Attributes/Relationships,organization,Added,Model Representation,,Relationship
AssignedPerson,Added,Attributes/Relationships,organization,Added,Has Value List,,N/A
AssignedPerson,Added,Attributes/Relationships,organization,Added,Definition,,A USDM relationship between the AssignedPerson and Organization classes that identifies that organization to which the assigned person belongs.
AssignedPerson,Added,Attributes/Relationships,personName,Added,Preferred Term,,Assigned Person Person Name
AssignedPerson,Added,Attributes/Relationships,personName,Added,NCI C-Code,,C216993
AssignedPerson,Added,Attributes/Relationships,personName,Added,Role,,Complex Datatype Relationship
AssignedPerson,Added,Attributes/Relationships,personName,Added,Model Representation,,Attribute
AssignedPerson,Added,Attributes/Relationships,personName,Added,Has Value List,,N
AssignedPerson,Added,Attributes/Relationships,personName,Added,Definition,,A word or group of words indicating the identity of an assigned person usually consisting of a first (personal) name and a last (family) name with an optional middle name. In some cultural traditions the family name comes first.
AssignedPerson,Added,Attributes/Relationships,jobTitle,Added,Preferred Term,,Assigned Person Job Title
AssignedPerson,Added,Attributes/Relationships,jobTitle,Added,NCI C-Code,,C215599
AssignedPerson,Added,Attributes/Relationships,jobTitle,Added,Role,,Attribute
AssignedPerson,Added,Attributes/Relationships,jobTitle,Added,Model Representation,,Attribute
AssignedPerson,Added,Attributes/Relationships,jobTitle,Added,Has Value List,,N
AssignedPerson,Added,Attributes/Relationships,jobTitle,Added,Definition,,An identifying designation related to the assigned person's occupation.
AssignedPerson,Added,Attributes/Relationships,label,Added,Preferred Term,,Assigned Person Label
AssignedPerson,Added,Attributes/Relationships,label,Added,NCI C-Code,,C215598
AssignedPerson,Added,Attributes/Relationships,label,Added,Role,,Attribute
AssignedPerson,Added,Attributes/Relationships,label,Added,Model Representation,,Attribute
AssignedPerson,Added,Attributes/Relationships,label,Added,Has Value List,,N
AssignedPerson,Added,Attributes/Relationships,label,Added,Definition,,The short descriptive designation for the assigned person.
AssignedPerson,Added,Attributes/Relationships,name,Added,Preferred Term,,Assigned Person Name
AssignedPerson,Added,Attributes/Relationships,name,Added,NCI C-Code,,C215596
AssignedPerson,Added,Attributes/Relationships,name,Added,Role,,Attribute
AssignedPerson,Added,Attributes/Relationships,name,Added,Model Representation,,Attribute
AssignedPerson,Added,Attributes/Relationships,name,Added,Has Value List,,N
AssignedPerson,Added,Attributes/Relationships,name,Added,Definition,,"The literal identifier (i.e., distinctive designation) of the assigned person."
AssignedPerson,Added,Attributes/Relationships,description,Added,Preferred Term,,Assigned Person Description
AssignedPerson,Added,Attributes/Relationships,description,Added,NCI C-Code,,C215597
AssignedPerson,Added,Attributes/Relationships,description,Added,Role,,Attribute
AssignedPerson,Added,Attributes/Relationships,description,Added,Model Representation,,Attribute
AssignedPerson,Added,Attributes/Relationships,description,Added,Has Value List,,N
AssignedPerson,Added,Attributes/Relationships,description,Added,Definition,,A narrative representation of the assigned person.
AssignedPerson,Added,Definition,,,,,"An individual person who is allotted or appointed to a particular role, function, or other entity."
ReferenceIdentifier,Added,Super Classes,,,,,Identifier
ReferenceIdentifier,Added,Preferred Term,,,,,Reference Identifier
ReferenceIdentifier,Added,NCI C-Code,,,,,C82531
ReferenceIdentifier,Added,Attributes/Relationships,type,Added,Codelist Ref,,C215478
